"A"	"Ase"	"B"	"Bse"	"Rse"	"Rsq"	"N"	"MwMin"	"MwMax"	"SizeMin"	"SizeMax"	"FaultDim"	"FaultType"	"TectoCode"	"Tectonics"	"Region"	"LawCode"	"RefCode"	"Reference"	"Notes"
4.33	0.06	1.49	0.05	0.24	0.96	93	4.8	8.1	1.5	350	"L"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
4.49	0.11	1.49	0.09	0.26	0.93	50	4.8	7.6	1.1	80	"L"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
4.34	0.23	1.54	0.18	0.31	0.88	24	5.2	7.3	3.8	63	"L"	"NN"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
4.38	0.06	1.49	0.04	0.26	0.94	167	4.8	8.1	1.1	350	"L"	"AA"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
3.8	0.17	2.59	0.18	0.45	0.84	87	4.8	8.1	2	23	"W"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
4.37	0.16	1.95	0.15	0.32	0.9	43	4.8	7.6	2	30	"W"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
4.04	0.29	2.11	0.28	0.31	0.86	23	5.2	7.3	4.3	30	"W"	"NN"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
4.06	0.11	2.25	0.12	0.41	0.84	153	4.8	8.1	2	30	"W"	"AA"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
3.98	0.07	1.02	0.03	0.23	0.96	83	4.8	7.9	3	5184	"A"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
4.33	0.12	0.9	0.05	0.25	0.94	43	4.8	7.6	2.2	2400	"A"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
