"A"	"Ase"	"B"	"Bse"	"Rse"	"Rsq"	"N"	"MwMin"	"MwMax"	"SizeMin"	"SizeMax"	"FaultDim"	"FaultType"	"TectoCode"	"Tectonics"	"Region"	"LawCode"	"RefCode"	"Reference"	"Notes"
-2.57	0.12	0.62	0.02	0.15	0.96	93	4.8	8.1	1.5	350	"L"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-2.42	0.21	0.58	0.03	0.16	0.93	50	4.8	7.6	1.1	80	"L"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-1.88	0.37	0.5	0.06	0.17	0.88	24	5.2	7.3	3.8	63	"L"	"NN"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-2.44	0.11	0.59	0.02	0.16	0.94	167	4.8	8.1	1.1	350	"L"	"AA"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-0.76	0.12	0.27	0.02	0.14	0.84	87	4.8	8.1	2	23	"W"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
-1.61	0.2	0.41	0.03	0.15	0.9	43	4.8	7.6	2	30	"W"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
-1.14	0.28	0.35	0.05	0.12	0.86	23	5.2	7.3	4.3	30	"W"	"NN"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
-1.01	0.1	0.32	0.02	0.15	0.84	153	4.8	8.1	2	30	"W"	"AA"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	"Size range taken graphically from paper, values given in table are wrong."
-3.42	0.18	0.9	0.03	0.22	0.96	83	4.8	7.9	3	5184	"A"	"SS"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-3.99	0.36	0.98	0.06	0.26	0.94	43	4.8	7.6	2.2	2400	"A"	"RR"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-2.87	0.5	0.82	0.08	0.22	0.92	22	5.2	7.3	19	900	"A"	"NN"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-3.49	0.16	0.91	0.03	0.24	0.95	148	4.8	7.9	2.2	5184	"A"	"AA"	1	"Generic Active Region"	"All"	"WC94"	1	"Wells and Coppersmith (1994)"	""
-2.477	0.222	0.585	0.029	0.18	0.814	95	0	0	0	0	"L"	"UN"	3	"Subduction interface"	"All"	"ST10"	3	"Strasser et al. (2010)"	"Check ranges!!"
-2.35	0.453	0.562	0.064	0.146	0.813	20	0	0	0	0	"L"	"UN"	4	"Subduction intraslab"	"All"	"ST10"	3	"Strasser et al. (2010)"	"Check ranges!!"
-0.882	0.226	0.351	0.029	0.173	0.634	85	0	0	0	0	"W"	"UN"	3	"Subduction interface"	"All"	"ST10"	3	"Strasser et al. (2010)"	"Check ranges!!"
-1.058	0.217	0.356	0.031	0.067	0.893	18	0	0	0	0	"W"	"UN"	4	"Subduction intraslab"	"All"	"ST10"	3	"Strasser et al. (2010)"	"Check ranges!!"
